Questions,Answers,,
What is TCP/IP?,TCP/IP (Transmission Control Protocol/Internet Protocol) is the foundational protocol suite used for communication and data transmission over the internet.,,
What is HTTP?,HTTP (Hypertext Transfer Protocol) is a protocol used for transmitting hypertext (such as HTML) between a web server and a web browser.,,
What is FTP?,FTP (File Transfer Protocol) is a standard network protocol used for transferring files between a client and a server on a computer network.,,
What is SMTP?,SMTP (Simple Mail Transfer Protocol) is a protocol used for sending and receiving email messages over a network.,,
What is DNS?,"DNS (Domain Name System) is a protocol used to translate domain names (e.g., www.example.com) into IP addresses that computers can understand.",,
What is DHCP?,DHCP (Dynamic Host Configuration Protocol) is a network protocol that automatically assigns IP addresses and network configuration parameters to devices on a network.,,
What is SNMP?,SNMP (Simple Network Management Protocol) is a protocol used for managing and monitoring network devices and their performance.,,
What is SSH?,SSH (Secure Shell) is a cryptographic network protocol that provides secure remote login and command execution on a network.,,
What is ICMP?,ICMP (Internet Control Message Protocol) is a network protocol used for diagnostic and error reporting purposes in IP networks.,,
What is BGP?,BGP (Border Gateway Protocol) is a routing protocol used to exchange routing information between different autonomous systems on the internet.,,
What is the challenge in network protocol design and implementation?,Ensuring reliable and error-free data transmission over potentially unreliable communication channels.,,
What is the challenge in network protocol design and implementation?,Managing the flow of data between devices to prevent congestion and bottlenecks in the network.,,
What is the challenge in network protocol design and implementation?,"Providing security and protection against unauthorized access, interference, and attacks on the network and its data.",,
What is the challenge in network protocol design and implementation?,"Adapting to changing network conditions, such as load, bandwidth, and topology.",,
What is the challenge in network protocol design and implementation?,Supporting a wide range of applications and services with varying requirements and quality of service expectations.,,
What is the challenge in network protocol design and implementation?,Ensuring scalability and the ability to accommodate a large number of devices and data volumes.,,
What is the challenge in network protocol design and implementation?,Reducing latency and improving overall network performance.,,
What is the challenge in network protocol design and implementation?,Implementing fault tolerance and redundancy mechanisms to ensure the continuity of network services.,,
What is the challenge in network protocol design and implementation?,Managing and troubleshooting network issues and problems.,,
What is the challenge in network protocol design and implementation?,Keeping up with the rapid pace of technological change and the emergence of new applications and services.,,
Can you explain the concept of network segmentation?,"it is the process of dividing a network into smaller sub-networks, called segments or VLANs (Virtual Local Area Networks).",,
What does network segmentation is used for?,"This is done to isolate different parts of the network, such as sensitive data, critical applications, and untrusted devices, from the rest of the network.",,
Can you explain the importance of network segmentation in network security?,"Segmentation can help protect the network from potential threats, such as viruses, hackers, and denial of service attacks, by limiting the scope of any security breaches and making it easier to monitor and control network traffic.",,
What is the OSPF (Open Shortest Path First)?,"OSPF is a link-state routing protocol that calculates the shortest path to a destination using the Dijkstra algorithm. It uses a metric called cost, which is based on the bandwidth of the links. The administrative distance of 110 indicates the trustworthiness of OSPF routes compared to routes from other routing protocols.",,
What is the ARP (Address Resolution Protocol)?,"ARP is used to resolve an IP address to its corresponding MAC address. When a device needs to send a packet to another device on a local network, it sends an ARP request to find the MAC address associated with the destination IP address.",,
What is the RIP (Routing Information Protocol)?,RIP is a distance-vector routing protocol that uses hop count as its metric. The maximum hop count of 15 limits the size of RIP networks since routes with a hop count greater than 15 are considered unreachable.,,
What is the Subnet Mask?,"A subnet mask is a 32-bit value used to divide an IP network into subnetworks. It determines which part of an IP address represents the network portion and which part represents the host portion. Subnet masks are represented in decimal format (e.g., 255.255.255.0) or CIDR notation (e.g., /24).",,
What is the Default Gateway?,"The default gateway is the IP address of the router that connects a local network to other networks, such as the internet. It serves as the exit point for network traffic destined for remote networks.",,
What is the VLAN (Virtual Local Area Network)?,"VLANs are logical networks created within a physical network infrastructure. They provide segmentation and isolation, allowing network administrators to group devices together based on factors such as department, function, or security requirements.",,
Define congestion ?,"When too many packets rushing to a node or a part of network, the network performance degrades. This situation is called as congestion.",,
What is the flag used in TCP header ?,"TCP header contains six flags. They are URG, ACK, PSH, RST, SYN, FIN",,
What is the approaches to improve the QoS ?,"Fine grained approaches, which provide QoS to individual applications or flows. Integrated services, QoS architecture developed in the IETE and often associated with RSVP.",,
What do you mean by QoS?,Quality of Service is used in some organizations to help provide an optimal end user experience for audio and video communications. QoS is most commonly used on networks where bandwidth is limited with a large number of network packets competing for a relatively small amount of available and width.,,
What is multiplexing?,"The job of gathering data chunks at the sources host from different sockets, encapsulating each data chunks with header information to create segments, and passing the segments to the network layer is called multiplexing.",,
What is de-multiplexing?,The job of delivering the data in a transport layer segment to the correct socket is called demultiplexing.,,
What is RTT?,"RTT is an acronym for Round Trip Time: it is a measure of the time it takes for a packet to travel from a computer, across a network to another computer, and back.",,
What is the segment?,Transport layer protocols send data as a sequence of packets. In TCP/IP these packets are called segments.,,
What is a port?,Applications running on different hosts communicate with TCP with the help of a concept called as ports. A port is a 16 bit unique number allocated to a particular application.,,
What is the services of end to end services?,"Guarantee message delivery, Delivery messages in the same order they are sent , Deliver at most one copy of each message, Support arbitrarily large message. , Support synchronization.",,
What is congestion?,"When load on network is greater than its capacity, there is congestion of data Packets. Congestion occurs because routers and switches have queues or buffers.",,
What are the functions of transport layer?,"Breaks messages into packets , Connection control. , Addressing. ,Provide reliability.",,
What are the types of QoS tools?,"Classification Congestion management, Congestion avoidance , Shaping/policing , Link efficiency",,
List some ways to deal with congestion ?,"packet elimination , Flow control , Buffer allocation , Choke packets",,
Define network congestion?,When two or more nodes would simultaneously try to transmit packets to one node there is a high probability that the number of packets would exceed the packet handling capacity of the network and lead to congestion.,,
What is the three types of addresses in TCP/IP?,"Three types of addresses are used by systems using the TCP/IP protocol: the physical address, the internetwork address (IP address), and the port address.",,
What is the flow characteristics related to QoS?,"Reliability , Delay , Jitter , Bandwidth",,
What are the techniques to improve QoS?,"Scheduling , Traffic shaping , Resource reservation , Admission control",,
What is Socket address?,The combination of IP address and port address is called Socket address.,,
What are the two types of protocols used in Transport layer?,"TCP , UDP",,
Define Throughput?,It is defines as a number of packets passing through the network in a unit of time.,,
Define UDP?,"User datagram protocol is a Unreliable, connectionless protocol, used along with the IP protocol.",,
What is the need of port numbers?,Port numbers are used as an addressing mechanism in transport layer.,,
What are the types of port numbers used in transport layer?,"Well-known port , Registered port , Dynamic port",,
Why TCP services are called Stream delivery services?,TCP allows the sending process to deliver data as a stream of bytes and the receiving process to deliver data as a stream of bytes. So it is called as stream of bytes.,,
Define jitter?,"Jitter is defined as a variation in the delay of received packets. The sending side transmits packets in a continuous stream and spaces them evenly apart. Because of network congestion, improper queuing, or configuration errors, the delay between packets can vary instead of remaining constant.",,
Explain connectionless service ?,In connection less service there is no connection between transmitter & receiver Ex: UDP,,
Explain connection oriented service?,In connection oriented service there is a connection between transmitter & receiver Ex: TCP,What is the DNS (Domain Name System)?,"DNS is a distributed system that translates domain names (e.g., www.example.com) to their corresponding IP addresses. It helps users access websites and services using human-readable names rather than numerical IP addresses."
What is the NAT (Network Address Translation)?,NAT is a technique used to map private IP addresses to public IP addresses (and vice versa) to enable communication between devices on a private network and the internet. It conserves public IP addresses and provides a level of security by hiding internal IP addresses.,,
What is the DHCP (Dynamic Host Configuration Protocol)?,DHCP is a network protocol that automatically assigns IP addresses and other configuration parameters to devices on a network. It simplifies IP address management by dynamically allocating and reclaiming addresses as devices join or leave the network.,,
What is the STP (Spanning Tree Protocol)?,"STP is a protocol used to prevent loops in Ethernet networks. It identifies and disables redundant paths, creating a loop-free topology. If a network change occurs, STP reconverges to find an alternative loop-free path.",,
What is the static routing?,Static routing requires manual configuration of routes,,
What is the dynamic routing?,dynamic routing protocols automatically exchange routing information between routers.,,
What is the purpose of a routing protocol?,Routing protocols determine the best path for forwarding network traffic from a source to a destination across an internetwork.,,
What is the administrative distance of a routing protocol?,"Administrative distance is a value used to rank routing protocols in order of preference, with lower values indicating higher priority.",,
What is the interior gateway protocols (IGPs)?,IGPs are used for routing within an autonomous system (AS),,
What is the exterior gateway protocols (EGPs)?,EGPs are used for routing between different ASes.,,
What is the purpose of a routing table?,A routing table is a data structure stored on a router that contains information about available routes and their associated metrics.,,
What is a default route?,"A default route, also known as the default gateway, is a route used when no specific route exists in the routing table for a given destination.",,
What is a next-hop address in routing?,The next-hop address is the IP address of the next router or interface towards which the packet should be forwarded to reach its destination.,,
What is the distance-vector?,Distance-vector protocols share routing information with neighboring routers,,
What is the link-state routing protocols?,link-state protocols exchange information about the entire network topology.,,
What is the purpose of the routing protocol metric?,"The routing protocol metric is a value used to determine the best path to a destination, taking into account factors such as bandwidth, delay, and reliability.",,
What is route summarization?,"Route summarization, also known as route aggregation, is the process of combining multiple network routes into a single summarized route to reduce the size of the routing table.",,
What is the primary function of a router?,The primary function of a router is to forward packets between different networks based on the destination IP address.,,
What is the primary function of a switch?,The primary function of a switch is to forward data packets between devices within a local network based on the destination MAC address.,,
What is a Layer 2 switch?,A Layer 2 switch operates at the data link layer and forwards packets based on MAC addresses,,
What is a Layer 3 switch?,a Layer 3 switch operates at the network layer and can perform routing functions based on IP addresses.,,
What is the purpose of VLANs on a switch?,"VLANs (Virtual Local Area Networks) on a switch allow the logical segmentation of a physical network into multiple isolated broadcast domains, improving network efficiency and security.",,
What is a hub?,A hub forwards incoming packets to all connected devices,,
What is a switch?,a switch selectively forwards packets to the intended destination based on MAC addresses.,,
What is the purpose of DHCP snooping on a switch?,"DHCP snooping is a security feature on a switch that prevents unauthorized DHCP servers from assigning IP addresses to devices on the network, mitigating potential security risks.",,
What is the purpose of port security on a switch?,Port security on a switch allows the administrator to control which devices are allowed to connect to specific switch ports by limiting the number of MAC addresses allowed or binding specific MAC addresses to switch ports.,,
What is a static route on a router?,A static route is manually configured by an administrator,,
What is a dynamic route on a router?,"a dynamic route is learned automatically through a dynamic routing protocol, such as OSPF or EIGRP.",,
What is the purpose of NAT (Network Address Translation) on a router?,NAT on a router allows devices with private IP addresses to communicate with devices on the internet by translating their private IP addresses to a public IP address.,,
What is the purpose of an ACL (Access Control List) on a router?,"An ACL on a router is a set of rules used to filter network traffic based on criteria such as source/destination IP addresses, protocols, and ports, enabling control and security at the network edge.",,
What is a router?,"A router is a network device that connects different networks together, such as a home network to the internet, and routes data packets between them.",,
What is a switch?,A switch is a network device that connects different nodes (such as computers and printers) within a network and forwards data packets to the appropriate destination.,,
What is the functions of a router in a network?,Connecting different networks together.,,
What is the functions of a router in a network?,Routing data packets between different networks.,,
What is the functions of a router in a network?,Managing and maintaining network connections.,,
What is the functions of a router in a network?,Providing network address translation (NAT) services.,,
What is the functions of a router in a network?,Supporting various network protocols and standards.,,
What is the functions of a router in a network?,Providing basic firewall and security services.,,
What is the functions of a switch in a network?,Connecting different nodes within a network.,,
What is the functions of a switch in a network?,Forwarding data packets to the appropriate destination based on the destination address.,,
What is the functions of a switch in a network?,Managing and maintaining network connections.,,
What is the functions of a switch in a network?,Providing basic firewall and security services.,,
What is the functions of a switch in a network?,Supporting various network protocols and standards.,,
What is a managed switch?,"A managed switch is a network switch that can be configured and managed using a separate management device or software. This allows for more advanced features, such as VLAN support, quality of service (QoS) management, and remote management",,
What is an unmanaged switch?,is a simple network switch that forwards data packets based on the destination address and does not provide any advanced features or management capabilities.,,
Can you explain the concept of VLANs?,"VLANs (Virtual Local Area Networks) are a way to isolate different parts of a network, such as sensitive data, critical applications, and untrusted devices, from the rest of the network. This is done by creating a virtual network within the physical network, allowing for better control and management of network traffic and resources. ",,
Can you explain the importance of VLANs in network segmentation?,"VLANs are particularly important in network segmentation because they provide a more granular and flexible way to isolate and manage different parts of the network, improving overall network security and performance.",,
What is Bus topology?,"All devices are connected to a central bus, and data is transmitted along the bus to the appropriate destination. Advantages include simplicity and cost-effectiveness, while disadvantages include limited fault tolerance and slower data transmission speeds.",,
What is Ring topology?,"Devices are connected in a ring, with data being transmitted around the ring to the appropriate destination. Advantages include faster data transmission speeds and better fault tolerance, while disadvantages include increased complexity and cost.",,
What is Star topology?,"Each device is connected to a central hub or switch, with the hub/switch acting as the network's backbone. Advantages include better fault tolerance, easier management, and support for a wide range of applications and services. Disadvantages include increased complexity and cost, particularly for larger networks.",,
What is Mesh topology?,"Each device is connected to every other device in the network, providing the highest level of fault tolerance and network redundancy. Advantages include better fault tolerance, increased network capacity, and support for a wide range of applications and services. Disadvantages include increased complexity, cost, and potential for increased latency in larger networks.",,
What is Tree topology?,"A hierarchical network structure, with multiple levels of switches and routers, providing better fault tolerance, scalability, and support for a wide range of applications and services. Advantages include better fault tolerance, scalability, and support for a wide range of applications and services. Disadvantages include increased complexity, cost, and potential for increased latency in larger networks.",,
Can you explain the concept of network address translation (NAT)?,Network address translation (NAT) is a technique used to map multiple IP addresses on a private network to a single public IP address provided by an internet service provider (ISP).,,
Can you explain the importance of network address translation (NAT) in network security?,"This is done to save valuable public IP addresses and to provide better security and privacy for the network. NAT also filters and blocks unsolicited inbound traffic, providing an additional layer of security for the network.",,
What is Unauthorized access?,Preventing unauthorized users from gaining access to the network and its data.,,
What is Data breaches?,Protecting sensitive data from being stolen or exposed to unauthorized parties.,,
What is Malware infections?,"Detecting and removing malicious software, such as viruses, worms, and trojans, from the network.",,
What is Denial of service attacks?,"Preventing malicious actors from flooding the network with traffic, causing service disruptions.",,
What is Man-in-the-middle attacks?,Intercepting and manipulating data transmission between electronic devices.,,
What is Insider threats?,Preventing untrusted or disgruntled employees from accessing or damaging the network and its data.,,
What is Misconfigured firewalls and routers?,Ensuring that firewalls and routers are properly configured to protect the network and its data.,,
What is Lack of patch management?,Regularly updating and patching network devices and software to protect against known vulnerabilities.,,
What is Weak or reused passwords?,Encouraging the use of strong and unique passwords to prevent unauthorized access.,,
What is Unsecured wireless networks?,Ensuring that wireless networks are secure and protected from unauthorized access.,,
What is Unauthorized access?,Preventing unauthorized users from gaining access to the network and its data.,,
What is Data breaches?,Protecting sensitive data from being stolen or exposed to unauthorized parties.,,
What is Malware infections?,"Detecting and removing malicious software, such as viruses, worms, and trojans, from the network.",,
What is Denial of service attacks?,"Preventing malicious actors from flooding the network with traffic, causing service disruptions.",,
What is Man-in-the-middle attacks?,Intercepting and manipulating data transmission between electronic devices.,,
What is Insider threats?,Preventing untrusted or disgruntled employees from accessing or damaging the network and its data.,,
What is Misconfigured firewalls and routers?,Ensuring that firewalls and routers are properly configured to protect the network and its data.,,
What is Lack of patch management?,Regularly updating and patching network devices and software to protect against known vulnerabilities.,,
What is Weak or reused passwords?,Encouraging the use of strong and unique passwords to prevent unauthorized access.,,
What is Unsecured wireless networks?,Ensuring that wireless networks are secure and protected from unauthorized access.,,
What is quality of service (QoS) in network protocols?,"it is refers to the ability to prioritize and manage network traffic based on various criteria, such as the type of data, the source and destination of the data, and the current network conditions. This ensures that different types of data and applications receive the appropriate level of service and prioritization on the network. QoS can be implemented using various techniques, such as traffic shaping, packet scheduling, and resource reservation, to provide a better overall quality of experience for users and applications.",,
What is SLIP?,SLIP refers to Serial Line Interface Protocol. It is used for transmitting IP datagrams over a serial line.,,
What is BGP?,BGP (Border Gateway Protocol) is a routing protocol used to exchange routing information between different autonomous systems (ASes) on the internet.,,
What is the primary function of BGP?,The primary function of BGP is to facilitate the exchange of routing information and the determination of optimal routes for network traffic between routers in different autonomous systems.,,
What are autonomous systems (ASes)?,Autonomous systems (ASes) are individual networks or groups of networks under a common administrative control that operate as a single entity in terms of routing decisions.,,
How does BGP differ from other routing protocols?,"Unlike interior gateway protocols (IGPs) that operate within a single AS, BGP is an exterior gateway protocol (EGP) designed for inter-domain routing between different ASes.",,
What are the main features of BGP?,"BGP offers features such as path vector routing, policy-based routing decisions, support for route filtering and manipulation, and the ability to handle large-scale routing tables.",,
How does BGP establish and maintain connections between routers?,"BGP uses TCP (Transmission Control Protocol) to establish and maintain connections between routers, ensuring reliable and ordered delivery of routing information.",,
What is the difference between eBGP and iBGP?,"eBGP (external BGP) is used for exchanging routing information between routers in different ASes, while iBGP (internal BGP) is used for communication between routers within the same AS.",,
What is a BGP peering session?,A BGP peering session refers to the establishment of a TCP connection between two BGP routers to exchange routing updates and maintain routing information synchronization.,,
How does BGP handle route selection?,"BGP uses various attributes, such as the length of the AS path, the origin of the route, and user-defined policies, to determine the best path for routing traffic.",,
What are BGP communities?,"BGP communities are a way to tag routes with additional information that can be used for routing policies, traffic engineering, or controlling route propagation among BGP routers.",,
Whh BGP is an inter-domain routing protocol?,BGP is specifically designed for exchanging routing information between different autonomous systems (ASes) on the internet. An AS is a collection of networks under a single administrative control.,,
What is Path vector routing?,"BGP uses a path vector routing algorithm, which means that along with the destination IP prefix, it also considers other attributes such as the AS path and various BGP attributes to make routing decisions.",,
What is Autonomous System Number (ASN)?,Each autonomous system participating in BGP is assigned a unique Autonomous System Number (ASN) by a regional Internet registry. ASNs are used to identify and differentiate between autonomous systems.,,
What is External BGP (eBGP)?,eBGP is used to exchange routing information between routers in different autonomous systems. It ensures that routing updates propagate across AS boundaries and enables connectivity between different networks.,,
What is Internal BGP (iBGP)?,iBGP is used for communication between routers within the same autonomous system. It allows the propagation of routing information within an AS and ensures consistent routing policies across the internal routers.,,
What is BGP Peering?,BGP peering refers to the establishment of a TCP connection between BGP routers to exchange routing information. Peering sessions can be established either directly between routers or through intermediary routers called route reflectors or confederations.,,
What is BGP Route Selection?,"BGP uses a set of attributes to determine the best path for routing a particular destination. These attributes include the length of the AS path, the origin of the route, the next-hop information, and various optional attributes. BGP administrators can also apply policies to influence route selection based on criteria such as route preference, communities, and local preferences.",,
What is BGP Communities?,"BGP communities are tags or labels that can be attached to BGP routes. They are used as a mechanism to group routes and convey specific information to routers within an autonomous system or to neighboring ASes. Communities are often used for traffic engineering, route filtering, and implementing routing policies.",,
What is BGP Scaling?,"BGP is designed to handle large-scale routing environments and can manage routing tables containing hundreds of thousands or even millions of routes. Techniques such as route aggregation, route summarization, and route reflection are employed to manage the size and complexity of BGP routing tables.",,
What is BGP Security?,"BGP security is a critical concern due to the potential risks of route hijacking, route leaks, and other attacks. Efforts such as BGPsec (BGP Security Extensions) aim to enhance the security of BGP by providing cryptographic validation of routing information.",,
What is BGP Message Types?,"BGP uses different types of messages to exchange routing information. The main message types include OPEN, UPDATE, NOTIFICATION, and KEEPALIVE. These messages are used for establishing connections, exchanging routing updates, handling errors, and maintaining the BGP peering session.",,
What is BGP Confederations?,"BGP confederations are a technique used to address the scalability challenges of large autonomous systems. By dividing an AS into smaller sub-ASes known as confederations, BGP confederations enable hierarchical routing and reduce the complexity of managing a single large AS.",,
What is BGP Route Reflectors?,"In large autonomous systems, BGP route reflectors are used to alleviate the full-mesh connectivity requirement among internal BGP (iBGP) routers. Route reflectors allow the propagation of routing information from one iBGP router to others, simplifying the iBGP configuration and reducing the number of iBGP peering sessions.",,
What is BGP Route Flap Dampening?,"BGP route flap dampening is a mechanism used to mitigate the impact of unstable or flapping routes. When a route is unstable (i.e., it frequently goes up and down), BGP dampens the route updates to reduce the instability and prevent excessive route oscillations.",,
What is BGP Communities and Internet Exchange Points (IXPs)?,"BGP communities are extensively used in Internet Exchange Points (IXPs) to influence routing policies and traffic engineering. By using BGP communities, network operators can provide routing instructions to their peers at the IXP, such as controlling route preference, implementing traffic engineering, or signaling route blackholing.",,
What is BGP Multihoming?,"BGP is commonly used for achieving multihoming, which is the practice of connecting a network to multiple service providers for increased redundancy and better traffic management. BGP allows networks to announce their IP prefixes through multiple providers, enabling effective load balancing and failover mechanisms.",,
What is BGP Route Validation?,Route validation is an emerging approach in BGP security that verifies the legitimacy of BGP routing information before its propagation. Techniques such as Resource Public Key Infrastructure (RPKI) and BGP Origin Validation help prevent the propagation of forged or unauthorized BGP routes.,,
What is BGP Large Communities?,"BGP Large Communities is an extension to BGP communities that allows the encoding of larger values and provides more flexibility in expressing routing policies. Large Communities enable the tagging and manipulation of routes based on complex policies, making it easier to manage and control the flow of traffic in BGP networks.",,
What is BGP Monitoring Protocol (BMP)?,"BGP Monitoring Protocol is a protocol that allows the collection and monitoring of BGP routing information. BMP provides a standardized way to capture BGP updates, routing tables, and related information for analysis, troubleshooting, and security purposes.",,
What is BGP Add-Path?,"BGP Add-Path is an extension to BGP that allows the advertisement of multiple paths for a single destination prefix. With BGP Add-Path, routers can send and receive backup or alternative paths for a prefix, providing redundancy and flexibility in route selection.",,
What is the default administrative distance of OSPF (Open Shortest Path First)?,The default administrative distance of OSPF is 110.,,
What is the purpose of ARP (Address Resolution Protocol)?,The purpose of ARP is to resolve an IP address to its corresponding MAC address on a local network.,,
What is the maximum hop count in RIP (Routing Information Protocol)?,The maximum hop count in RIP is 15.,,
What is the purpose of a subnet mask?,"A subnet mask is used to divide an IP network into subnetworks, enabling the identification of network and host portions of an IP address.",,
What is the purpose of a default gateway?,The default gateway is used to forward network traffic from a local network to remote networks.,,
What is the purpose of a VLAN (Virtual Local Area Network)?,"VLANs are used to logically segment a single physical network into multiple broadcast domains, improving network efficiency and security.",,
What is the purpose of DNS (Domain Name System)?,"DNS is used to translate domain names (e.g., www.example.com) into their corresponding IP addresses, allowing users to access websites using human-readable names.",,
What is the purpose of NAT (Network Address Translation)?,"NAT is used to translate private IP addresses to public IP addresses or vice versa, enabling devices on a private network to communicate with devices on the internet.",,
What is the purpose of the DHCP (Dynamic Host Configuration Protocol)?,"DHCP is used to automatically assign IP addresses, subnet masks, and other network configuration parameters to devices on a network.",,
What is the purpose of STP (Spanning Tree Protocol)?,"STP is used to prevent network loops in Ethernet networks by selectively blocking redundant paths, ensuring a loop-free topology.",,
What is TCP/IP?,"TCP/IP (Transmission Control Protocol/Internet Protocol) is a suite of communication protocols used to interconnect network devices on the internet. It provides end-to-end connectivity by specifying how data should be formatted, addressed, transmitted, routed, and received.",,
Difference between TCP and UDP?,"TCP (Transmission Control Protocol) is connection-oriented and provides reliable, ordered data transmission. UDP (User Datagram Protocol) is connectionless and does not guarantee delivery or ordering of data.",,
Explain the HTTP protocol?,"HTTP (Hypertext Transfer Protocol) is the foundation of data communication on the World Wide Web. It defines the structure of messages and how they're transmitted, allowing web browsers to retrieve and display web pages.",,
What is SMTP?,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving emails. It works between mail servers to send messages from a client to the server or between servers.,,
Difference between IPv4 and IPv6?,"IPv4 uses 32-bit addresses, allowing for approximately 4.3 billion unique addresses. IPv6 uses 128-bit addresses, enabling significantly more unique IP addresses, essential for the growing number of internet-connected devices.",,
Define FTP?,FTP (File Transfer Protocol) is used to transfer files between a client and a server on a computer network. It allows for the downloading and uploading of files.,,
What is DNS?,"DNS (Domain Name System) translates domain names into IP addresses, making it easier for users to access websites by typing in a domain name rather than a long string of numbers.",,
Explain SNMP?,SNMP (Simple Network Management Protocol) is used to manage devices on IP networks. It is commonly used in network management systems to monitor network-attached devices for conditions that warrant administrative attention.,,
Describe SSH?,SSH (Secure Shell) is a cryptographic network protocol used for secure communication over an unsecured network. It provides a secure channel over an insecure network by using encryption and authentication.,,
What is DHCP?,DHCP (Dynamic Host Configuration Protocol) is used to automatically assign IP addresses and other network configuration information to devices on a network. It simplifies the process of connecting to a network by assigning addresses dynamically.,,
What are Network protocols?,"Network protocols are a set of rules and conventions governing how devices communicate and interact in a computer network. These protocols define the procedures, formats, and specific requirements for communication between different devices. They establish the standards for data transmission, including how data is formatted, transmitted, received, and acknowledged within a network.",,
What is Standardization?,Protocols ensure that different devices and systems can communicate with each other by following the same set of rules and standards.,,
What is Data Formatting?,"They define how data is structured, encoded, and formatted for transmission, specifying the order and organization of the information being exchanged.",,
What is Addressing and Routing?,Protocols determine how devices are addressed within a network and how data is routed from one point to another.,,
What is Error Detection and Correction?,"Some protocols include mechanisms to detect errors during data transmission and correct them, ensuring data integrity.",,
How does the use of a router differ from a bridge in telecommunication?,"A router is a communication device that is used to connect two different networks, while a bridge is networking device that divides the network into different segments to manage the amount of traffic.",,
The presentation layer of the OSI model translates data into an acceptable format usable by which layer?,The application layer,,
What the OSI Model is used to?,describe how communications happen across a network,,
"When internet service providers use fiber optic cables, which cable type are they most likely to use for home networks?",Plastic optical cable,,
Why are addresses important in networking?,They are used to identify both the network to which the device is connected to as well as the device itself.,,
Which protocol downloads a copy of an email and deletes the original email from the server?,POP3,,
"In what topology network, all the devices are connected back to a central hub or switch?",Star topology,,
What is the organization that currently regulates and manages the Internet ?,ICANN,,
Where does the cloud concept originate?,Network diagram,,
Which internet protocol is responsible for re transmitting lost or erroneous data packets?,TCP,,
What identifies the protocol or protocols available to the session layer for standardizing communications on a network?,TCP/IP,,
What main use does Telnet have in modern IT?,Telnet is often used for embedded devices.,,
What is the type of fiber used typically for long distance runs?,Single-mode,,
Which of these is the most common cable type to connect a home network to a cable modem using an internet service provider?,Coaxial,,
"When a user tries to access a web page, what does the system do first?",Searches the domain name in DNS.,,
What is the software or hardware used to connect two different networks is known as?,Gateway,,
Which of the following is true about half-duplex mode?,Data is transmitted in both directions but not at the same time.,,
Why is the role of RTCP important in VoIP communications?,It allows adjustments to be made to fine-tune transmissions.,,
What type of standards are built by the officials and network professionals in organizations? ,Formal standards,,
What organization sets the rules as to how credit card data is handled?,PCI,,
"Which of the following is a transmission mode that transmits in two directions, but only in one direction at a time?",Asynchronous,,
SIP signaling protocol for VoIP and Video-over-IP allows for a connection to be modified. Which of these is an example of a session modification?,Adding an additional participant.,,
Which of the following wireless communication technologies has the shortest range?,Near Field Communication,,
How many nodes for a network would a /23 be good for address space in IPv4?,Up to 512,,
What is the maximum number of zones that can be associated to a firewall?,Firewalls can have many zones associated to them.,,
What is the purpose of load balancing in a network?,It distributes traffic to allow for a balance in the network keeping services available,,
"Although security is important, why is there a need to use Wireless Access Point as a pass-through set-up which allows any server to get connected to the network?",To enable the peer devices to exchange data without much difficulty.,,
"If you want to prevent employees from disclosing sensitive company information, which network security type would be best to implement?",DLP,,
Which two protocols are NOT backward compatible?,802.11a Protocol 802.11b,,
What is the approximate distance between devices when establishing a connection using short-range wireless communication?,From a few centimeters to several meters,,
What is PSTN stands for?,Public Switched Telephone Network,,
Why is the role of RTCP important in VoIP communications?,It allows adjustments to be made to fine-tune transmissions.,,
What type of video-over-IP service relies on two-way communication?,Video conferencing,,
What is a specially built server?,is built with redundant power supplies to maintain constant availability,,
Which of the following devices can be used to interface computer networks that use different communication protocols?,Gateway,,
What is a specially designed server operating system can serve?,numerous concurrent clients connections,,
An office operates on 3 floors of a building. It comprises 4 different departments. Which of the following network implementation will most suit the office needs?,4 VLANs on 4 switches with trunk link connections,,
Which type of network transmission mode transmits data in both directions simultaneously?,Synchronous,,
"If you didn't have access to a highly-skilled IT network team, what would be a good option for a WAN (Wide Area Network)?",A fully carrier managed WAN.,,
What makes the symmetric DSL network type so different from the asymmetric type?,It has an equal balance between download and upload speeds.,,
What are two common WAN (Wide Area Network) design types?,Hub and spoke; Full mesh topology,,
What is the network layer converts?,Logical addresses into physical addresses,,
"In the OSI model, what does the application layer do?","This layer actively interacts with the operating system or application when the user decides to transfer files, read messages, or perform network-related activities.",,
What networking organizations set the standards for network communication?,all of these answers are correct,,
"At the 'receiving' computer, the transport layer provides input to which OSI layer?",The session layer,,
"What is the topology of a network describes how devices are connected via actual cabling, wireless connectivity, etc?",physical topology,,
"Consider a number of computers are in a network, and one computer crashes. In which of the following network topologies will the entire network also go down?",Ring,,
Which network topology uses a central hub or controller?,Star,,
What are WLAN Protocols?,WLAN Protocols are network protocols which govern data transmissions over wireless connectivity.,,
What are the reasons for the degradation of a wireless signal?,Reflection/Diffraction/ScatteringAll of the above,,
Which application operates in the frequency range 87.5 - 108 MHz?,FM Radio,,
What is wireless transmission happens when wireless equipment converts?,an electric current to electromagnetic waves,,
When are guest accounts most likely necessary?,a doctor's office in the waiting room,,
Which of the following is a method for securing data by using special mathematical algorithms to convert the data into a scrambled code before transmission?,Encryption,,
What would most likely benefit from registering its MAC addresses?,a small investment firm,,
Why did the first version of WPA use TKIP?,Many old devices still used WEP and TKIP was intended to make it easy to upgrade.,,
What is frequency Division Multiplexing is not used in ?,Air band radio,,
